success,lowest_price,volume,media_price,time
true,"65,79€",5,"60,56€",Wed Feb 05 12:51:21 EET 2020
true,"65,79€",5,"60,56€",Wed Feb 05 12:51:21 EET 2020
true,"65,79€",5,"60,56€",Wed Feb 05 12:53:01 EET 2020
true,"65,75€",5,"60,56€",Wed Feb 05 12:59:01 EET 2020
true,"65,75€",5,"60,56€",Wed Feb 05 13:05:16 EET 2020
true,"65,73€",5,"60,56€",Wed Feb 05 13:19:19 EET 2020
true,"65,73€",5,"60,56€",Wed Feb 05 13:41:27 EET 2020
true,"65,73€",5,"60,56€",Wed Feb 05 13:41:37 EET 2020
true,"65,73€",5,"60,56€",Wed Feb 05 13:41:48 EET 2020
true,"65,73€",5,"60,56€",Wed Feb 05 13:41:58 EET 2020
true,"65,73€",5,"60,56€",Wed Feb 05 13:42:09 EET 2020
true,"65,73€",5,"60,56€",Wed Feb 05 13:42:19 EET 2020
true,"65,73€",5,"60,56€",Wed Feb 05 13:42:30 EET 2020
